Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"€52,230",,180.0,250.0,130.0,12.1,7.5,Average,Short (<200km),828.0,7.2
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€57,440",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€58,230",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€56,700",,185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€53,800",,185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"€54,625","£49,465",180.0,250.0,130.0,12.1,7.5,Average,Short (<200km),828.0,7.2
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€59,800",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€60,625",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€50,880",,185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€55,900","£49,065",185.0,243.0,130.0,13.1,7.29,Average,Short (<200km),853.2,7.61
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€56,690","£49,905",185.0,243.0,130.0,13.1,7.29,Average,Short (<200km),853.2,7.61
